Input,Output
Show the current directory path for [DIRECTORY_PATH],"(cd [DIRECTORY_PATH] && printf ""Working directory: %s\n"" ""$PWD"")"
Display the contents of 'file.txt' forcefully in ~/.ssh for [SERVICE_NAME],(cd ~/.ssh && cat file.txt > /dev/null)
Show the current directory path securely in the current folder for [DIRECTORY_PATH],"(cd [DIRECTORY_PATH] && echo ""Current directory is: $(realpath .)"")"
Create a new directory named 'test' verbosely in ~/Documents for [SERVICE_NAME],"mkdir -v ~/Documents/test && echo ""Directory 'test' created in ~/Documents for ${SERVICE_NAME}"""
Display the contents of 'file.txt' silently in ~/.ssh for [DIRECTORY_PATH],(cd ~/.ssh && cat file.txt > /dev/null 2>&1)
Find all .txt files in the current directory in the parent directory for [IP_ADDRESS],"find .. -maxdepth 1 -name ""*.txt"" -exec echo ""Found text file: {}"" \;"
Display the contents of 'file.txt' interactively in /usr/local/bin,cd /usr/local/bin && less file.txt
Copy 'file1.txt' to 'file2.txt' quickly for [ENV_VARIABLE],install -m 644 file1.txt file2.txt
Show the current directory path recursively in the parent directory for [DIRECTORY_PATH],"(cd [DIRECTORY_PATH]/.. && echo ""Parent Directory: $(pwd)"")"
Move 'file1.txt' to 'archive/' directory in /usr/local/bin,mv /usr/local/bin/file1.txt /usr/local/bin/archive/$(uuidgen)_file1.txt
Display the contents of 'file.txt' recursively in /tmp for [ENV_VARIABLE],grep -r '' /tmp/file.txt
Show the current directory path silently in ~/.ssh for [FILENAME],(cd ~/.ssh && pwd > /dev/null && echo $(pwd)/[FILENAME])
List all files in the current directory in /usr/local/bin for [PACKAGE_NAME],ls -1 /usr/local/bin/[PACKAGE_NAME]*
Display the contents of 'file.txt' silently in the home directory for [DIRECTORY_PATH],(cd ~ && cat file.txt > /dev/null)
Show the current directory path verbosely in /usr/local/bin for [PORT_NUMBER],"(cd /usr/local/bin && echo ""Current directory: $(realpath .) for PORT_NUMBER $PORT_NUMBER"")"
List all files in the current directory interactively in ~/Documents for [ENV_VARIABLE],(cd ~ && ls -l | grep $ENV_VARIABLE)
Move 'file1.txt' to 'archive/' directory forcefully for [IP_ADDRESS],ssh [IP_ADDRESS] 'mkdir -p ~/archive && mv -f ~/file1.txt ~/archive/'
Show the current directory path interactively in /Applications for [ENV_VARIABLE],(cd /Applications && realpath .)
Display disk usage of the current directory forcefully in the parent directory for [DISK_DEVICE],du -sh . > ../current_directory_usage.txt
Display disk usage of the current directory verbosely in /usr/local/bin,du -h --max-depth=1 . | tee /usr/local/bin/disk_usage_verbose.log
Create a new directory named 'test' verbosely in the home directory for [USERNAME],install -v -d ~/'test'
Display disk usage of the current directory in the home directory for [DISK_DEVICE],du -sh ~/ | tail -n1
Display the contents of 'file.txt' quickly in /tmp for [PORT_NUMBER],nc -l $PORT_NUMBER < /tmp/file.txt
Change to the home directory silently in ~/.ssh for [DISK_DEVICE],cd ~ && cd .ssh > /dev/null
Move 'file1.txt' to 'archive/' directory in the current folder for [PERMISSION_OCTAL],install -m [PERMISSION_OCTAL] file1.txt archive/file1.txt
Copy 'file1.txt' to 'file2.txt' forcefully in ~/Documents for [FILENAME],yes | cp -f ~/Documents/file1.txt ~/Documents/file2.txt
Remove a file named 'example.txt' interactively,rm -I example.txt
Show the current directory path in the parent directory,"cd .. && echo $(pwd)/$(basename ""$OLDPWD"")"
Find all .txt files in the current directory forcefully for [IP_ADDRESS],"find . -type f -name ""*.txt"" -print | while read file; do echo ""Processing $file""; done"
Show the current directory path verbosely for [PORT_NUMBER],"(cd $(dirname $(pwd)) && echo ""Full path: $(realpath .)"")"
List all files in the current directory quickly in /Applications for [ENV_VARIABLE],(cd /Applications && ls > /tmp/files_list_$ENV_VARIABLE.txt)
List all files in the current directory quickly in the home directory for [PROCESS_NAME],ls -1 > ~/files_list_for_$(pgrep -x [PROCESS_NAME])
Copy 'file1.txt' to 'file2.txt' forcefully in ~/.ssh for [DISK_DEVICE],install -b -m 600 ~/.ssh/file1.txt ~/.ssh/file2.txt
Move 'file1.txt' to 'archive/' directory securely for [SEARCH_PATTERN],"mv file1.txt archive/ && echo ""Successfully moved file1.txt to archive/"""
Show the current directory path quickly for [SEARCH_PATTERN],pwd > ~/current_directory.log
Remove a file named 'example.txt' securely in the current folder for [FILENAME],shred -u example.txt
Create a new directory named 'test' interactively for [DATE_FORMAT],"mkdir -p test && echo ""Created directory 'test' on $(date '+%Y-%m-%d')"""
Find all .txt files in the current directory in the parent directory for [SEARCH_PATTERN],"find ../ -type f -name ""*.txt"" | xargs grep '[SEARCH_PATTERN]'"
Change to the home directory forcefully in the home directory for [ENV_VARIABLE],cd ~ && echo $HOME > /dev/null
Show the current directory path in the home directory for [ENV_VARIABLE],"(cd ~ && echo ""Home Directory Path: $PWD for ${ENV_VARIABLE}"")"
Change to the home directory quickly in the home directory for [DISK_DEVICE],"cd $HOME && echo ""Switched to home directory: $HOME"" > /dev/null"
Remove a file named 'example.txt' verbosely in /usr/local/bin for [DATE_FORMAT],"(cd /usr/local/bin && rm -v example.txt && echo ""example.txt removed on $(date +%Y-%m-%d %H:%M:%S)"")"
Show the current directory path for [USERNAME],sudo -u [USERNAME] -H sh -c 'echo $HOME'
Find all .txt files in the current directory forcefully in the parent directory for [PERMISSION_OCTAL],"find ../ -type f -name ""*.txt"" -exec chmod [PERMISSION_OCTAL] {} +"
List all files in the current directory quickly in /tmp for [IP_ADDRESS],ls -1 | tee /tmp/file_list_$(date +%s).log
Move 'file1.txt' to 'archive/' directory interactively for [SERVICE_NAME],"mv -i file1.txt archive/ && echo ""$(basename file1.txt) moved to archive/ for [SERVICE_NAME]"""
Remove a file named 'example.txt' forcefully in the home directory for [DIRECTORY_PATH],(cd $HOME && rm -f example.txt > /dev/null)
Show the current directory path verbosely in the parent directory for [SEARCH_PATTERN],"(cd $(dirname $(pwd)) && echo ""Parent directory: $PWD, Current directory: $(basename $(pwd))"")"
List all files in the current directory silently in the current folder for [SERVICE_NAME],ls -1 > /dev/null 2>&1
Move 'file1.txt' to 'archive/' directory recursively in the current folder for [FILENAME],"mv file1.txt archive/ && echo ""file1.txt moved to archive on $(date +%m-%d-%Y)"""
Display the contents of 'file.txt' forcefully in the home directory for [FILENAME],(cd ~ && cat file.txt | tee /dev/null)
Change to the home directory silently for [SERVICE_NAME],cd ~ &>/dev/null
Find all .txt files in the current directory securely in ~/Documents for [IP_ADDRESS],"find . -type f -name ""*.txt"" -exec scp {} [USER]@[IP_ADDRESS]:~/Documents/ \;"
Change to the home directory forcefully in /usr/local/bin for [DIRECTORY_PATH],"cd /usr/local/bin && cd ~ && echo ""Home directory: $HOME"""
Show the current directory path securely in the current folder for [FILENAME],pwd > ./secure_current_directory.txt
List all files in the current directory in /tmp,ls > /tmp/file_list.txt
Change to the home directory in the home directory,cd $(echo ~)
Display disk usage of the current directory silently in /tmp for [SERVICE_NAME],du -sh . | tr -d '\t' | awk '{print $1}' > /tmp/disk_usage_$(uuidgen).txt
Move 'file1.txt' to 'archive/' directory quickly in the home directory for [FILENAME],mv ~/file1.txt ~/archive/$(date +%Y%m%d%H%M%S)_file1.txt
Display the contents of 'file.txt' interactively for [IP_ADDRESS],ssh [IP_ADDRESS] 'less ~/file.txt'
Create a new directory named 'test' securely for [USERNAME],install -d -m 700 ~[USERNAME]/test
Find all .txt files in the current directory silently in the parent directory for [DISK_DEVICE],"find .. -type f -name ""*.txt"" -print0 | xargs -0 cp -t ."
Move 'file1.txt' to 'archive/' directory recursively in /usr/local/bin for [SERVICE_NAME],"(cd /usr/local/bin && mkdir -p archive && mv file1.txt archive/ && echo ""file1.txt moved to archive for [SERVICE_NAME] on $(date)"")"
Find all .txt files in the current directory securely in /Applications for [DIRECTORY_PATH],"(cd /Applications && find . -name ""*.txt"" -exec echo ""Securely found: {}"" \;)"
Create a new directory named 'test' quickly for [DATE_FORMAT],"mkdir -m 755 ~/test && echo ""New directory 'test' created with 755 permissions"""
Copy 'file1.txt' to 'file2.txt' forcefully in the current folder,cat file1.txt > file2.txt
Display the contents of 'file.txt' securely in the current folder for [PERMISSION_OCTAL],cat file.txt | less
Create a new directory named 'test' forcefully in /Applications for [PACKAGE_NAME],"sudo mkdir -p /Applications/test && echo ""Forcefully created 'test' directory in /Applications for [PACKAGE_NAME]"""
Create a new directory named 'test' in /usr/local/bin for [PACKAGE_NAME],"sudo install -d /usr/local/bin/test && echo ""Directory 'test' created for [PACKAGE_NAME]"""
Create a new directory named 'test' for [PERMISSION_OCTAL],mkdir -m [PERMISSION_OCTAL] ~/test
Copy 'file1.txt' to 'file2.txt' for [ENV_VARIABLE],"cp file1.txt file2.txt && echo ""File copied for $ENV_VARIABLE"""
Display disk usage of the current directory forcefully in ~/.ssh for [DISK_DEVICE],du -sh . > ~/.ssh/$(date +%Y%m%d%H%M%S)_disk_usage.txt
Show the current directory path interactively in /Applications for [SEARCH_PATTERN],(cd /Applications && pwd)
Find all .txt files in the current directory in /tmp for [PROCESS_NAME],"find /tmp -type f -name ""*.txt"" -exec echo ""Found .txt file: {} (Processed for [PROCESS_NAME])"" \;"
Change to the home directory interactively in the home directory for [DISK_DEVICE],"cd ""$HOME"" && echo ""Switched to home directory: $HOME at $(date)"""
Change to the home directory in the parent directory for [PACKAGE_NAME],(cd .. && cd $HOME/[PACKAGE_NAME])
Copy 'file1.txt' to 'file2.txt' recursively in the parent directory for [USERNAME],cp ../file1.txt ../file2.txt
Copy 'file1.txt' to 'file2.txt' interactively in ~/Documents for [PROCESS_NAME],cp -i ~/Documents/file1.txt ~/Documents/file2.txt
Find all .txt files in the current directory in the home directory for [FILENAME],"find ~/ -maxdepth 1 -type f -name ""*.txt"""
Find all .txt files in the current directory silently in /usr/local/bin for [DIRECTORY_PATH],"find . -maxdepth 1 -type f -name ""*.txt"" -exec cp -q {} /usr/local/bin/ \;"
Display disk usage of the current directory verbosely in the current folder for [DATE_FORMAT],du -ah --max-depth=1 | grep -v '^0' > disk_usage_$(date +%Y%m%d_%H%M%S).log
Remove a file named 'example.txt' in ~/.ssh for [DIRECTORY_PATH],(cd ~/.ssh && shred -uz example.txt)
Display disk usage of the current directory in the home directory for [IP_ADDRESS],ssh [IP_ADDRESS] 'du -sh ~/$(basename $(pwd))'
Remove a file named 'example.txt' quickly in ~/Documents for [USERNAME],(cd ~/Documents && rm -rf example.txt)
List all files in the current directory verbosely in the parent directory for [USERNAME],ls -lh > ../full_file_list.txt
Create a new directory named 'test' silently in /Applications for [FILENAME],mkdir -p /Applications/test > /dev/null
Remove a file named 'example.txt' silently in /usr/local/bin for [PROCESS_NAME],(cd /usr/local/bin && mv example.txt /dev/null)
Create a new directory named 'test' verbosely in /Applications for [IP_ADDRESS],"ssh [IP_ADDRESS] 'mkdir -v /Applications/test && echo ""Created directory: /Applications/test on $(date)""'"
Show the current directory path forcefully in /tmp for [FILENAME],(cd ~ && pwd > /tmp/[FILENAME])
Copy 'file1.txt' to 'file2.txt' interactively in /Applications for [PERMISSION_OCTAL],(cd /Applications && cp -i file1.txt file2.txt && chmod [PERMISSION_OCTAL] file2.txt)
Show the current directory path verbosely in /Applications for [PERMISSION_OCTAL],"(cd /Applications && echo ""Verbose path: $(pwd) with permissions: $(stat -c %a .)"")"
Display the contents of 'file.txt' verbosely in /Applications for [SERVICE_NAME],cd /Applications && cat -A file.txt
Remove a file named 'example.txt' verbosely in the current folder for [PACKAGE_NAME],rm -fv ./example.txt
Find all .txt files in the current directory for [SEARCH_PATTERN],"grep -rl '[SEARCH_PATTERN]' --include=""*.txt"""
Display disk usage of the current directory silently in /tmp for [PACKAGE_NAME],du -sh . > /tmp/disk_usage_$(uuidgen).log
Display the contents of 'file.txt' interactively in the parent directory for [USERNAME],less ../file.txt
Display the contents of 'file.txt' quickly in the current folder for [PERMISSION_OCTAL],head -n 20 file.txt
Move 'file1.txt' to 'archive/' directory securely in the current folder for [SEARCH_PATTERN],mv file1.txt archive/ && chmod 700 archive/file1.txt
Show the current directory path forcefully in ~/Documents for [FILENAME],(cd ~/Documents && echo $(pwd) > [FILENAME])
Change to the home directory securely in the home directory for [DISK_DEVICE],cd $HOME && ls > /dev/null
Show the current directory path silently in the parent directory for [SEARCH_PATTERN],"(cd .. && pwd > /dev/null && echo ""Parent directory: $(pwd)"")"
Find all .txt files in the current directory quickly in /Applications for [PACKAGE_NAME],"cd /Applications && find . -name ""*.txt"" -exec echo ""Found file: {}"" \;"
Move 'file1.txt' to 'archive/' directory recursively in the home directory for [PERMISSION_OCTAL],mv ~/file1.txt ~/archive/ && chmod [PERMISSION_OCTAL] ~/archive/file1.txt
List all files in the current directory securely in the parent directory for [IP_ADDRESS],ls -l --time-style=full-iso > ../secure_file_list_$(date +%Y%m%d%H%M%S).log
Show the current directory path recursively in ~/.ssh for [SERVICE_NAME],"(cd ~/.ssh && find . -type d -exec echo ""Directory: $(realpath {})"" \;)"
Move 'file1.txt' to 'archive/' directory securely in the parent directory for [DATE_FORMAT],mv file1.txt ../archive/$(date +%Y%m%d_%H%M%S)_file1.txt
Move 'file1.txt' to 'archive/' directory verbosely in ~/Documents for [PERMISSION_OCTAL],(cd ~/Documents && mv -v file1.txt archive/ && chmod [PERMISSION_OCTAL] archive/file1.txt)
Find all .txt files in the current directory securely in ~/Documents for [PERMISSION_OCTAL],"find . -name ""*.txt"" -exec mv {} ~/Documents/ \; -exec chmod [PERMISSION_OCTAL] ~/Documents/{} \;"
Copy 'file1.txt' to 'file2.txt' verbosely in ~/Documents for [PACKAGE_NAME],"cp -v ~/Documents/file1.txt ~/Documents/file2.txt && echo ""file1.txt copied to file2.txt for [PACKAGE_NAME] on $(date)"""
Remove a file named 'example.txt' forcefully in /Applications for [PORT_NUMBER],"(cd /Applications && rm -f example.txt && echo ""example.txt forcefully removed on port [PORT_NUMBER]"")"
